6932956	basel	0	0	0	0	1	0	1	0	7.0	661	661	143	1230000
7094662	basel	0	0	0	0	1	0	0	1	6.5	817	817	817	1490000
7110029	basel	0	0	0	0	1	0	0	1	7.5	654	654	200	1240000
7165497	basel	0	0	0	0	1	0	0	1	5.5	270	270	178	1350000
7176777	basel	0	0	0	0	1	0	1	1	7.0	1004	1004	145	570000
7177145	basel	1	1	1	1	1	0	1	1	5.0	671	67	155	1400000
7189951	basel	0	0	0	0	0	0	0	0	5.0	465	465	110	750000
6585782	basel	0	0	0	0	0	0	1	1	8.0	936	936	203	890000
6599401	basel	0	0	0	0	1	0	0	0	6.5	1412	1412	200	1650000
6981950	basel	0	0	0	0	1	0	0	1	4.0	385	385	92	294000
6984168	basel	0	0	0	0	1	0	1	1	6.5	762	762	120	720000
7080872	basel	0	0	0	0	0	0	1	0	7.5	536	236	196	1090000
7100658	basel	0	0	0	0	0	0	0	0	6.0	820	223	181	840000
7161685	basel	0	1	1	1	1	0	1	1	4.5	222	242	156	1420000
7187555	basel	0	0	0	0	1	0	0	0	7.5	872	872	195	1175000
7214320	basel	0	0	0	0	0	0	1	0	5.5	311	311	167	895000
7065335	basel	1	1	1	1	1	0	1	1	5.5	476	160	160	1900000
7100667	basel	0	0	0	0	0	0	0	0	6.0	820	223	181	495000
7127895	basel	0	0	0	0	0	0	0	0	9.0	197	197	200	1600000
7157385	basel	1	1	1	0	1	0	1	0	5.5	272	272	140	850000
7180211	basel	0	0	0	0	1	0	1	0	5.5	404	404	158	1550000
7186323	basel	0	0	0	0	0	0	1	0	5.5	696	696	175	850000
7189931	basel	0	0	0	0	1	0	1	1	6.5	221	221	221	720000
7190112	basel	0	0	0	0	1	0	1	1	8.0	839	839	210	1430000
7210675	basel	0	0	0	0	1	0	1	0	5.5	641	61	119	890000
6685512	basel	0	1	1	1	1	1	1	1	6.5	560	311	168	620000
7036670	basel	0	0	0	0	1	0	0	0	5.5	229	229	136	1160000
7057964	basel	0	0	0	0	0	0	0	0	6.0	570	570	393	1480000
7145604	basel	0	0	0	0	1	0	1	0	6.0	119	119	119	695000
7157148	basel	0	0	0	0	1	0	1	1	4.5	607	607	153	620000
7162338	basel	0	0	0	0	1	0	1	1	9.5	1234	1234	312	895000
7178814	basel	1	1	1	1	1	0	0	1	4.5	195	190	140	670000
7179337	basel	0	0	0	0	0	0	0	0	5.5	525	525	130	180000
7208177	basel	0	1	1	1	1	1	1	1	8.0	516	516	200	1250000
5490629	basel	0	0	0	1	1	0	1	1	5.5	300	300	140	650000
6745689	basel	0	0	1	0	1	0	0	1	5.0	175	175	175	795000
6769434	basel	0	0	0	0	0	0	1	1	7.5	749	749	149	925000
6796433	basel	1	1	1	1	1	1	0	1	5.0	160	219	160	855000
7168647	basel	0	0	0	0	1	0	1	1	5.5	625	625	160	1500000
