7048767	basel	0	0	0	0	1	0	0	0	4.5	200	200	124	550000
7131094	basel	1	1	1	0	1	1	1	0	8.5	2262	70	251	1960000
7213342	basel	0	0	0	1	1	0	1	1	8.5	320	345	260	2450000
6543731	basel	0	0	0	0	0	0	1	0	5.0	500	500	165	360000
6914330	basel	0	0	0	0	1	0	1	1	8.0	798	798	259	1650000
7179918	basel	0	1	0	0	0	0	0	0	3.5	123	123	123	170000
7197619	basel	0	0	0	0	0	0	0	0	5.5	227	227	145	660000
6884137	basel	0	0	0	0	1	0	1	1	4.5	729	729	142	650000
6893628	basel	0	0	0	0	1	0	1	0	6.5	458	458	140	395000
6930541	basel	0	1	0	0	1	0	0	1	4.5	189	189	189	290000
7019637	basel	1	0	1	0	1	0	1	1	3.5	578	578	85	788000
7066558	basel	0	0	0	0	0	0	0	0	4.5	200	200	117	812866
6795723	basel	0	0	0	0	1	0	0	0	5.5	525	525	200	1270000
6949059	basel	0	0	0	0	0	0	1	1	6.5	1099	234	173	1950000
7078202	basel	0	1	1	1	1	1	1	1	4.5	317	202	116	380000
7207987	basel	0	0	1	0	1	0	1	1	5.5	820	223	181	1395000
7008197	basel	0	0	0	1	1	0	1	0	5.5	246	246	120	320000
7164738	basel	0	0	0	1	1	0	0	0	7.5	254	208	187	1070000
7183929	basel	0	0	0	0	1	0	0	0	5.5	205	205	131	1285000
7191989	basel	0	0	0	0	0	0	1	1	5.5	1170	1170	159	1250000
7114967	basel	0	0	0	0	1	0	0	0	12.0	6900	6900	250	1300000
7163593	basel	0	0	0	1	1	0	0	1	4.5	578	578	120	795000
7184400	basel	0	0	0	0	0	0	1	1	7.5	591	591	200	820000
7208648	basel	0	0	0	0	0	0	1	1	6.5	705	174	162	880000
7000410	basel	0	1	1	1	1	1	1	1	6.0	611	200	188	944000
7001680	basel	0	0	0	1	0	0	1	1	7.0	764	764	173	995000
7185198	basel	0	0	0	0	1	0	0	0	5.5	326	326	150	1200000
6841201	basel	0	0	0	0	0	0	1	0	6.0	1615	1615	200	1295000
7118764	basel	1	1	0	0	1	0	1	1	6.0	619	619	619	550000
7161693	basel	0	0	0	0	0	0	0	0	5.0	565	565	141	880000
7182005	basel	0	0	0	0	1	0	1	0	6.0	762	762	762	280000
7110113	basel	1	1	1	0	1	0	1	1	4.5	984	984	148	450000
